using device: cuda
Run: plr_p50_1000
[eval step 1310] random regret +0.265 break 0.08 | walls regret +0.010 break 1.00
[eval step 1320] random regret +0.260 break 0.08 | walls regret +0.073 break 1.00
[eval step 1330] random regret +0.287 break 0.08 | walls regret +0.013 break 1.00
[eval step 1340] random regret +0.260 break 0.08 | walls regret +0.010 break 1.00
[eval step 1350] random regret +0.266 break 0.08 | walls regret +0.010 break 1.00
[eval step 1360] random regret +0.273 break 0.08 | walls regret +0.000 break 1.00
[eval step 1370] random regret +0.265 break 0.08 | walls regret +0.000 break 1.00
[eval step 1380] random regret +0.252 break 0.08 | walls regret +0.000 break 1.00
[eval step 1390] random regret +0.252 break 0.08 | walls regret +0.003 break 1.00
[eval step 1400] random regret +0.247 break 0.07 | walls regret +0.010 break 1.00
[eval step 1410] random regret +0.250 break 0.07 | walls regret +0.076 break 1.00
[eval step 1420] random regret +0.250 break 0.07 | walls regret +0.000 break 1.00
[eval step 1430] random regret +0.279 break 0.08 | walls regret +0.000 break 1.00
[eval step 1440] random regret +0.289 break 0.08 | walls regret +0.000 break 1.00
[eval step 1450] random regret +0.305 break 0.07 | walls regret +0.000 break 1.00
[eval step 1460] random regret +0.299 break 0.07 | walls regret +0.000 break 1.00
[eval step 1470] random regret +0.249 break 0.06 | walls regret +1.520 break 1.00
[eval step 1480] random regret +0.268 break 0.06 | walls regret +1.579 break 1.00
[eval step 1490] random regret +0.223 break 0.06 | walls regret +0.016 break 1.00
[eval step 1500] random regret +0.199 break 0.06 | walls regret +0.016 break 1.00
[eval step 1510] random regret +0.205 break 0.06 | walls regret +0.019 break 1.00
[eval step 1520] random regret +0.213 break 0.06 | walls regret +0.676 break 1.00
[eval step 1530] random regret +0.217 break 0.06 | walls regret +0.016 break 1.00
[eval step 1540] random regret +0.222 break 0.06 | walls regret +0.000 break 1.00
[eval step 1550] random regret +0.220 break 0.06 | walls regret +0.062 break 1.00
[eval step 1560] random regret +0.207 break 0.06 | walls regret +0.000 break 1.00
[eval step 1570] random regret +0.210 break 0.05 | walls regret +0.010 break 1.00
[eval step 1580] random regret +0.209 break 0.05 | walls regret +0.000 break 1.00
[eval step 1590] random regret +0.232 break 0.06 | walls regret +0.000 break 1.00
[eval step 1600] random regret +0.213 break 0.06 | walls regret +0.000 break 1.00
[eval step 1610] random regret +0.196 break 0.05 | walls regret +0.000 break 1.00
[eval step 1620] random regret +0.202 break 0.06 | walls regret +0.000 break 1.00
[eval step 1630] random regret +0.188 break 0.05 | walls regret +0.010 break 1.00
[eval step 1640] random regret +0.186 break 0.05 | walls regret +0.000 break 1.00
[eval step 1650] random regret +0.186 break 0.06 | walls regret +0.000 break 1.00
[eval step 1660] random regret +0.205 break 0.06 | walls regret +0.000 break 1.00
[eval step 1670] random regret +0.195 break 0.05 | walls regret +0.123 break 1.00
[eval step 1680] random regret +0.193 break 0.05 | walls regret +0.131 break 1.00
[eval step 1690] random regret +0.204 break 0.06 | walls regret +0.000 break 1.00
[eval step 1700] random regret +0.196 break 0.06 | walls regret +0.000 break 1.00
[eval step 1710] random regret +0.200 break 0.06 | walls regret +0.003 break 1.00
[eval step 1720] random regret +0.279 break 0.06 | walls regret +1.270 break 1.00
[eval step 1730] random regret +0.200 break 0.06 | walls regret +0.211 break 1.00
[eval step 1740] random regret +0.195 break 0.06 | walls regret +0.016 break 1.00
[eval step 1750] random regret +0.189 break 0.05 | walls regret +0.019 break 1.00
[eval step 1760] random regret +0.175 break 0.05 | walls regret +0.019 break 1.00
[eval step 1770] random regret +0.197 break 0.06 | walls regret +0.083 break 1.00
[eval step 1780] random regret +0.206 break 0.06 | walls regret +0.019 break 1.00
[eval step 1790] random regret +0.208 break 0.06 | walls regret +0.577 break 1.00
[eval step 1800] random regret +0.199 break 0.06 | walls regret +2.340 break 1.00
[eval step 1810] random regret +0.199 break 0.06 | walls regret +2.706 break 1.00
[eval step 1820] random regret +0.219 break 0.07 | walls regret +4.846 break 1.00
[eval step 1830] random regret +0.218 break 0.06 | walls regret +3.370 break 1.00
[eval step 1840] random regret +0.221 break 0.06 | walls regret +5.042 break 1.00
[eval step 1850] random regret +0.229 break 0.06 | walls regret +2.530 break 1.00
[eval step 1860] random regret +0.197 break 0.06 | walls regret +3.077 break 1.00
[eval step 1870] random regret +0.213 break 0.06 | walls regret +2.292 break 1.00
[eval step 1880] random regret +0.217 break 0.07 | walls regret +0.770 break 1.00
[eval step 1890] random regret +0.216 break 0.07 | walls regret +0.650 break 1.00
[eval step 1900] random regret +0.224 break 0.07 | walls regret +0.407 break 1.00
[eval step 1910] random regret +0.208 break 0.06 | walls regret +0.528 break 1.00
[eval step 1920] random regret +0.217 break 0.06 | walls regret +0.527 break 1.00
[eval step 1930] random regret +0.212 break 0.06 | walls regret +0.076 break 1.00
[eval step 1940] random regret +0.207 break 0.06 | walls regret +0.076 break 1.00
[eval step 1950] random regret +0.213 break 0.05 | walls regret +0.019 break 1.00
[eval step 1960] random regret +0.228 break 0.06 | walls regret +0.145 break 1.00
[eval step 1970] random regret +0.218 break 0.05 | walls regret +0.145 break 1.00
[eval step 1980] random regret +0.214 break 0.05 | walls regret +0.019 break 1.00
[eval step 1990] random regret +0.197 break 0.05 | walls regret +0.019 break 1.00
[eval step 2000] random regret +0.222 break 0.05 | walls regret +0.016 break 1.00
saved agent to agent_plr_p50_1000.pt (plr50, 2000 steps)
saved buffer to buffer_plr_p50_1000.pt (16384/16384 levels)
top buffer regret scores: [0.3914969563484192, 0.38749727606773376, 0.3871575593948364, 0.3869037330150604, 0.3862465023994446, 0.38482755422592163, 0.38474148511886597, 0.3835601508617401, 0.3835209012031555, 0.38348886370658875, 0.38328230381011963, 0.38272055983543396, 0.38233014941215515, 0.38224512338638306, 0.38083380460739136, 0.38026681542396545]
their urn counts: [3, 3, 4, 3, 3, 2, 1, 3, 3, 3, 5, 3, 3, 3, 3, 3]
HTML(value='<b>highest-regret buffer levels</b>')
Image(value=b'\x89PNG\r\n\x1a\n\x00\x00\x00\rIHDR\x00\x00\x01\x8f\x00\x00\x01\xef\x08\x02\x00\x00\x00#\x0c\xc4\xea...')
 env (row,col)   optimal  achieved    regret
       0 (0,0)    -2.818    -2.818    -0.000
       1 (0,1)    -1.538    -1.538    -0.000
       2 (0,2)    -0.995    -1.384    +0.389
       3 (0,3)    -2.402    -2.609    +0.206
